id,parent,address,pname,cityname,type,typecode,shopinfo,childtype,adname,name,location,tel,lng,lat
B021F01A81,[],黄河十一路,山东省,滨州市,风景名胜;公园广场;公园,110101,2,[],滨城区,中海公园,"117.965477,37.394483",[],117.965477,37.394483
B0FFGWNU2J,[],黄河十二路820号,山东省,滨州市,风景名胜;公园广场;城市广场,110105,2,[],滨城区,滨州市民健身广场,"117.977283,37.403112",[],117.977283,37.403112
B0FFLD6R6S,[],中海北路116号,山东省,滨州市,风景名胜;风景名胜;风景名胜,110200,2,[],滨城区,中海胜景,"117.949552,37.396715",[],117.949552,37.396715
B0FFH5NXRJ,[],魏集镇桑王路与同韩路路口往东230米,山东省,滨州市,风景名胜;风景名胜;国家级景点,110202,2,[],惠民县,魏集古村落(暂停开放),"117.760215,37.299470",0543-2133666;0543-2133000,117.760215,37.29947
B021F03N02,[],北镇街道黄河二路渤海五路交叉口西北角,山东省,滨州市,风景名胜;公园广场;城市广场,110105,2,[],滨城区,五四广场,"118.028761,37.372423",[],118.028761,37.372423
B0G3F5KM94,[],市东街道渤海九路与北外环路交叉口东南角,山东省,滨州市,风景名胜;公园广场;水族馆,110104,2,[],滨城区,滨州海底世界,"118.000854,37.433978",0543-7080666;0543-7080777,118.000854,37.433978
B021F03MDB,[],黄河二路551号,山东省,滨州市,风景名胜;公园广场;公园,110101,2,[],滨城区,彩虹湖,"117.984332,37.369602",[],117.984332,37.369602
B0FFG9W81H,[],杜店街道黄河五路391-7号正西方向140米,山东省,滨州市,风景名胜;公园广场;公园,110101,2,[],滨城区,新立河健康主题公园,"117.980121,37.386376",[],117.980121,37.386376
B0FFJRSZT3,[],白鹭湖湿地公园(渤海一路东),山东省,滨州市,风景名胜;公园广场;公园,110101,2,[],滨城区,白鹭湖湿地公园,"118.049973,37.415378",[],118.049973,37.415378
B0I2CCCKF7,[],崇德七大道应用技术研究院南,山东省,德州市,风景名胜;公园广场;公园,110101,2,[],德城区,德州欢乐花谷,"116.443577,37.423008",[],116.443577,37.423008
B0FFHZXTB5,[],黄河涯镇果子李村,山东省,德州市,风景名胜;公园广场;植物园,110103,2,[],德城区,德州动植物园,"116.357809,37.385181",[],116.357809,37.385181
B021602WT5,[],长河街道长河大道(蔚来城对面),山东省,德州市,风景名胜;公园广场;公园,110101,2,[],德城区,长河公园,"116.346267,37.446140",[],116.346267,37.44614
B02160PGCO,[],东风东路附近,山东省,德州市,风景名胜;风景名胜;国家级景点,110202,2,[],德城区,减河国家湿地公园,"116.387972,37.415690",[],116.387972,37.41569
B02160P7MV,[],德州市开发区德州经济技术开发区体育街南首1号,山东省,德州市,风景名胜;风景名胜;国家级景点,110202,2,[],德城区,董子园风景区(暂停开放),"116.374644,37.439075",0534-2585011,116.374644,37.439075
B0FFG8OFFB,[],文化路,山东省,德州市,风景名胜;公园广场;城市广场,110105,2,[],德城区,德州市城市中心广场,"116.310776,37.448219",[],116.310776,37.448219
B0FFFWZP6T,[],四女寺镇槐荫路,山东省,德州市,风景名胜;风景名胜;风景名胜,110200,2,[],武城县,四女寺风景区,"116.239287,37.353744",[],116.239287,37.353744
B0FFF05QMX,[],德州市开发区经济开发区晶华大道一号,山东省,德州市,风景名胜;风景名胜;寺庙道观,110205,2,[],德城区,永庆寺,"116.376586,37.420423",[],116.376586,37.420423
B0HKACLR8L,[],广川大道与天衢东路交叉口东北60米,山东省,德州市,风景名胜;公园广场;公园,110101,2,[],德城区,崇德公园,"116.346274,37.454080",[],116.346274,37.45408
B02160PS57,[],日月坛微排大厦1层,山东省,德州市,风景名胜;风景名胜;国家级景点,110202,2,[],德城区,中国太阳谷,"116.395273,37.424965",0534-5089203;0534-5088888,116.395273,37.424965
B0IG2CAE5F,[],莱阳路以南,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],东营区,东营区体育公园,"118.582167,37.463195",[],118.582167,37.463195
B022201ZJH,[],南一路与登州路交叉路口,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],东营区,清风湖公园,"118.682761,37.414491",0546-6089181,118.682761,37.414491
B0FFFDYRYF,[],园博路与嘉博路交汇处,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],垦利区,园博园,"118.677142,37.502651",0546-7766908,118.677142,37.502651
B02220O24T,[],广利河以南、东青高速以西、南二路以北,山东省,东营市,风景名胜;公园广场;动物园,110102,2,[],东营区,黄河三角洲动物园,"118.596803,37.419974",0546-8631999;0546-8372666,118.596803,37.419974
B02220NV6N,[],北一路,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],东营区,体育公园,"118.524701,37.460146",[],118.524701,37.460146
B0HAKLK0FX,[],金洲路与金河路交叉口北300米,山东省,东营市,风景名胜;公园广场;水族馆,110104,2,[],东营区,万达广场公园,"118.677158,37.432687",[],118.677158,37.432687
B0FFKYZ36S,[],黄河路街道星凯海纳城对面,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],东营区,耿井公园,"118.532353,37.436721",[],118.532353,37.436721
B022200229,[],胜北体育馆旁,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],东营区,胜利油田钻井公园,"118.516564,37.525063",[],118.516564,37.525063
B022200FA4,[],东城街道府前大街92号,山东省,东营市,风景名胜;公园广场;城市广场,110105,2,[],东营区,东营新世纪广场,"118.674646,37.431863",[],118.674646,37.431863
B0FFHSB6W4,[],登州路与淮河路交叉口东北240米,山东省,东营市,风景名胜;公园广场;公园,110101,2,[],东营区,秋月湖公园,"118.688445,37.449221",[],118.688445,37.449221
B0HGVYN9LO,[],曹州路青年湖公园北侧约120米,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,老城曹州,"115.446349,35.245854",0530-7911111,115.446349,35.245854
B021205PHN,[],人民路1000号,山东省,菏泽市,风景名胜;风景名胜;风景名胜,110200,2,[],牡丹区,曹州牡丹园,"115.497379,35.279915",0530-5640188;0530-5640177,115.497379,35.279915
B021202782,[],中华路1169号,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,天香公园,"115.476401,35.235636",[],115.476401,35.235636
B0IG5HK82S,[],京九铁路与万福河交汇处,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,人工沙滩主题公园,"115.520456,35.176020",[],115.520456,35.17602
B0FFI55V3M,[],国花大道,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,七里河湿地公园,"115.503454,35.313854",[],115.503454,35.313854
B0GKJHXXX0,[],人民路与中华路交叉口北80米,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,菏泽海关法治公园,"115.495242,35.233154",[],115.495242,35.233154
B0FFHNF8VM,[],珠江东路1777号,山东省,菏泽市,风景名胜;风景名胜;风景名胜,110200,2,[],定陶区,鲁西南记忆,"115.539071,35.177291",0530-2291666,115.539071,35.177291
B0FFKVXD57,[],太原路186号对面,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,赵王河公园儿童游乐区,"115.472719,35.229563",[],115.472719,35.229563
B0FFJ09WJU,B0FFG714ZL,中华路紫金国际广场负1层,山东省,菏泽市,风景名胜;公园广场;水族馆,110104,2,202,牡丹区,菏泽三鲨海洋世界,"115.499956,35.230573",0530-7755502;0530-7755503,115.499956,35.230573
B021205897,[],解放大街和迎宾街交汇处北90米,山东省,菏泽市,风景名胜;公园广场;公园,110101,2,[],牡丹区,儿童乐园,"115.449724,35.240389",[],115.449724,35.240389
B021306TJ7,[],经十一路18号,山东省,济南市,风景名胜;风景名胜;国家级景点,110202,2,[],历下区,千佛山风景名胜区,"117.036092,36.639302",0531-82662340,117.036092,36.639302
B021300C2E,[],花园路120号,山东省,济南市,风景名胜;公园广场;城市广场,110105,2,[],历城区,洪楼广场,"117.066999,36.685102",[],117.066999,36.685102
B0FFIOSQ2K,[],明湖路271号,山东省,济南市,风景名胜;风景名胜;国家级景点,110202,2,[],历下区,天下第一泉,"117.015811,36.661079",[],117.015811,36.661079
B021306MAD,B0FFFX1OYU,锦绣川乡锦绣川水库南3公里54号,山东省,济南市,风景名胜;风景名胜;国家级景点,110202,2,601,历城区,红叶谷景区(暂停开放),"117.169781,36.485029",0531-82818666,117.169781,36.485029
B02130YNQF,[],佛峪沟附近,山东省,济南市,风景名胜;风景名胜;风景名胜,110200,2,[],历下区,龙洞风景区,"117.099376,36.601566",[],117.099376,36.601566
B0HBKZOE4A,[],华山镇荷花路,山东省,济南市,风景名胜;公园广场;公园,110101,2,[],历城区,华山风景区,"117.073396,36.729314",[],117.073396,36.729314
B0FFFL2XR7,[],旅游路中段(近鱼翅皇宫大酒店),山东省,济南市,风景名胜;风景名胜;国家级景点,110202,2,[],历下区,大千佛山景区佛慧山,"117.047873,36.628538",[],117.047873,36.628538
B0FFFDOWEJ,[],港沟伙路村东南山峪,山东省,济南市,风景名胜;风景名胜;寺庙道观,110205,2,[],历城区,淌豆寺(暂停开放),"117.221272,36.621788",[],117.221272,36.621788
B0FFG9VEUR,[],青岛路与腊山河西路交汇处东南角,山东省,济南市,风景名胜;风景名胜;风景名胜|购物服务;购物相关场所;购物相关场所,110200|060000,2,[],槐荫区,印象济南·泉世界,"116.908811,36.677561",0531-81602998;4000902767,116.908811,36.677561
B021307FPR,[],还乡店路25号,山东省,济南市,风景名胜;公园广场;公园,110101,2,[],历城区,还乡店公园,"117.076566,36.714065",[],117.076566,36.714065
B0FFI6ZICM,[],244省道线西,山东省,济宁市,风景名胜;风景名胜;风景名胜,110200,2,[],嘉祥县,东方左岸·假日小镇,"116.313988,35.313978",0537-6537777,116.313988,35.313978
B0IBUCUBHX,[],接庄街道南集一村,山东省,济宁市,风景名胜;公园广场;城市广场,110105,2,[],任城区,南集一村广场,"116.739532,35.374811",[],116.739532,35.374811
B0FFFGTQL0,[],古槐路37-1附近,山东省,济宁市,风景名胜;风景名胜;风景名胜,110200,2,[],任城区,潘家大楼,"116.580745,35.413585",[],116.580745,35.413585
B0FFF35QYL,[],曲阜明故城,山东省,济宁市,风景名胜;风景名胜;国家级景点|风景名胜;风景名胜;世界遗产,110202|110201,2,[],曲阜市,曲阜三孔景区,"116.994196,35.608196",0537-4486500;0537-4712172,116.994196,35.608196
B0GRTOGG1S,[],(胡营社区),山东省,济宁市,风景名胜;风景名胜;风景名胜,110200,2,[],任城区,道玄堂,"116.508358,35.408291",[],116.508358,35.408291
B0FFKG20P1,[],兴平路与兴阳路交叉口南480米,山东省,济宁市,风景名胜;公园广场;城市广场,110105,2,[],邹城市,太平广场,"116.840358,35.332765",[],116.840358,35.332765
B02190XH2Y,[],纸坊镇武翟山村北,山东省,济宁市,风景名胜;风景名胜;省级景点,110203,2,[],嘉祥县,武氏祠景区,"116.348098,35.282849",0537-6611899,116.348098,35.282849
B02190B7BX,[],小闸口上河西街19号,山东省,济宁市,风景名胜;风景名胜;回教寺,110207,2,[],任城区,济宁东大寺(暂停开放),"116.587651,35.403293",0537-2266315,116.587651,35.403293
B0FFH3YA49,[],济安桥南路,山东省,济宁市,风景名胜;风景名胜;寺庙道观,110205,2,[],任城区,大悲庵,"116.570349,35.402740",[],116.570349,35.40274
B0IASUM4PW,[],圣贤路与火炬路交叉口西北角,山东省,济宁市,风景名胜;公园广场;公园,110101,2,[],任城区,口袋公园,"116.614333,35.350458",[],116.614333,35.350458
B0FFGCGMK7,B0FFHFHH7N,环球路,山东省,聊城市,风景名胜;风景名胜;国家级景点,110202,2,301,东阿县,东阿阿胶城,"116.239923,36.345901",0635-7105896,116.239923,36.345901
B027B0ORD2,B0FFHFHH7N,环球路附近,山东省,聊城市,风景名胜;风景名胜;国家级景点,110202,2,301,东阿县,东阿药王山,"116.242790,36.345618",0635-7105890,116.24279,36.345618
